FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COMP 4331 1,Cloud Computing,Azamat Zhamanov,8:30 AM,10:00 AM,Wed,839,H - Hybrid
COMP 4350 1,Network Security,Azamat Zhamanov,4:00 PM,5:30 PM,Thu,839,H - Hybrid
COMP 4353 1,Data Mining,Sabina Adhikari,,,,,OF - Online Flexible
COMP 4353 2,Data Mining,Likhitha Kanagala,,,,,OF - Online Flexible
COMP 4358 1,Wireless Networking,Azamat Zhamanov,2:30 PM,4:00 PM,Thu,839,H - Hybrid
COMP 4393 1,Senior Design Project,Abdulkerim Oncu,1:00 PM,2:30 PM,Tue,839,H - Hybrid
COMP 4398 1,Internship,Ihsan Said,,,,,I - Internship
CRJS 1301 1,Introduction to Criminal Justice System,Peter Alvarado,10:00 AM,11:30 AM,"Tues, Thur",,OS - Online Synchronous
CRJS 2305 1,Criminal Trial and the Court,Hope Smith,5:00 PM,6:30 PM,Wed,,OS - Online Synchronous
CRJS 3308 1,Evidence and Procedures,Jack Ashton,2:30 PM,4:00 PM,Thur,,OF - Online Flexible
CRJS 3309 1,Technique Writing for Criminal Justice,Richard Brasuell,,,,,OF - Online Flexible
CRJS 3310 1,Criminal Investigations,Ozgur Nikbay,11:30 a.m.,1:00 p.m.,"Tues, Thur",827,IP - In Person
CRJS 4322 1,Ethics in Criminal Justice,Mustafa Donmez,,,,,OF - Online Flexible
ECON 2311 1,Principles of Macroeconomics,Riaz Mahmood,11:30 AM,1:00 PM,Thu,822,H - Hybrid
ECON 2312 1,Principles of Microeconomics,Selahattin Bekmez,11:30 AM,1:00 PM,Wed,823,H - Hybrid
ECON 3313 1,Global Economics,Riaz Mahmood,,,,,OF - Online Flexible
EDUC 2312 1,Learning Theories and Development,Amanda Boyaki-Wilson,10:00 AM,11:30 AM,"Tues, Thur",823,IP - In Person
EDUC 3102 1,Seminar for PPR Exam,Ann Marie Smith,11:30 AM,1:00 PM,Wed,723,H - Hybrid
EDUC 3314 1,Classroom Management,Amanda Boyaki-Wilson,8:30 AM,10:00 AM,Wed,823,H - Hybrid
EDUC 3315 1,Instruction and Assessment,Gul Musavi,3:00 PM,4:30 PM,Wed,826,H - Hybrid
EDUC 3317 1,Teaching in Culturally Diverse Schools,Ann Marie Smith,10:00 AM,11:30 AM,Wed,723,H - Hybrid
EDUC 4010 1,Internship,Kerime Sari,,,,,I - Internship
EDUC 4133 1,Capstone Project Presentation,Kerime Sari,,,,,OF - Online Flexible
EDUC 4434 1,Content Exam Prep Course,Gul Musavi,TBA,TBA,TBA,,H - Hybrid
EDUC 4699 1,Student Teaching,Kerime Sari,on field,,,,OF - Online Flexible
ENGL 1311 1,Composition and Rhetoric I,LaTisha Metts,8:30 AM,10:00 AM,"Mon, Wed",829,IP - In Person
ENGL 1312 1,Composition and Rhetoric II,LaTisha Metts,10:00 AM,11:30 AM,"Mon, Wed",829,IP - In Person
ENGL 2319 1,Survey of World Literature,Ann Marie Smith,11:30 AM,1:00 PM,Thu,847,H - Hybrid
ENGL 3329 1,Teaching Elementary Literacy 2,Ann Marie Smith,10:00 AM,11:30 AM,Wed,723,H - Hybrid
ENGL R300 1,Basic Writing,LaTisha Metts,11:30 AM,1:00 PM,"Mon, Wed",829,IP - In Person
ENGL R301 1,Development of Reading Skills,LaTisha Metts,8:30 AM,10:00 AM,Tue,829,H - Hybrid
